,County,State,Population,Percent Republican,Latitude,Longitude,March,April,May,June,July,August
0,JEFFERSON,AL,659680.0,0.426097444207115,33.5543,-86.8964,2737.0,1495.0,3887.0,650.0,4138.0,6398.0
1,MORGAN,AL,119213.0,0.7383194966680318,34.4535,-86.8529,278.0,171.0,240.0,91.0,467.0,753.0
2,LAWRENCE,AL,33058.0,0.7686357681991142,34.5217,-87.311,60.0,34.0,86.0,11.0,111.0,134.0
3,CHEROKEE,AL,25903.0,0.8603365580034144,34.1759,-85.6038,30.0,14.0,28.0,,117.0,162.0
4,SHELBY,AL,213432.0,0.6933449325793823,33.2643,-86.6607,817.0,410.0,2048.0,273.0,1375.0,1953.0
5,DALLAS,AL,39149.0,0.30922525750111957,32.326,-87.1065,92.0,64.0,62.0,22.0,98.0,180.0
6,WINSTON,AL,23784.0,0.9034916696207019,34.1492,-87.3737,180.0,22.0,47.0,36.0,147.0,218.0
7,BIBB,AL,22493.0,0.7842626367899947,32.9986,-87.1265,67.0,47.0,73.0,37.0,246.0,269.0
8,TALLADEGA,AL,80387.0,0.623475310545944,33.3801,-86.1659,307.0,236.0,161.0,46.0,391.0,490.0
9,DALE,AL,49277.0,0.724642820954504,31.4318,-85.611,96.0,65.0,90.0,53.0,702.0,832.0
10,LIMESTONE,AL,94727.0,0.7035645374225652,34.8101,-86.9814,207.0,187.0,184.0,53.0,525.0,728.0
11,HOUSTON,AL,104702.0,0.7064301648149351,31.1532,-85.3025,205.0,139.0,222.0,142.0,1170.0,1211.0
12,CULLMAN,AL,82853.0,0.8812214761893383,34.1319,-86.8676,296.0,198.0,233.0,121.0,513.0,752.0
13,MARSHALL,AL,95643.0,0.8369940738872778,34.367,-86.3066,419.0,224.0,157.0,83.0,629.0,931.0
14,BARBOUR,AL,25361.0,0.5345122646891044,31.8696,-85.3932,78.0,70.0,39.0,11.0,145.0,178.0
15,TALLAPOOSA,AL,40541.0,0.7128293077985803,32.8624,-85.7975,132.0,144.0,99.0,69.0,385.0,434.0
16,MONROE,AL,21270.0,0.5762092238470191,31.5709,-87.3655,26.0,49.0,27.0,40.0,198.0,315.0
17,DEKALB,AL,71310.0,0.8436776127537812,34.4598,-85.8041,181.0,97.0,87.0,62.0,447.0,550.0
18,ETOWAH,AL,102748.0,0.7443848474689909,34.0453,-86.0348,383.0,158.0,208.0,156.0,597.0,897.0
19,LAUDERDALE,AL,92556.0,0.7154198335551095,34.9014,-87.654,381.0,230.0,129.0,85.0,638.0,780.0
20,LEE,AL,161152.0,0.590924995451301,32.6011,-85.3555,342.0,392.0,356.0,155.0,844.0,1199.0
21,AUTAUGA,AL,55380.0,0.714368023046453,32.5349,-86.6427,239.0,150.0,222.0,59.0,354.0,620.0
22,TUSCALOOSA,AL,207305.0,0.566883289712993,33.2896,-87.5251,659.0,550.0,420.0,179.0,928.0,1299.0
23,CHAMBERS,AL,33660.0,0.5726903951845067,32.9143,-85.392,59.0,59.0,126.0,51.0,202.0,357.0
24,COLBERT,AL,54771.0,0.688625116545937,34.7005,-87.8049,105.0,111.0,67.0,53.0,284.0,470.0
25,CHILTON,AL,44055.0,0.8329880890730191,32.8479,-86.7188,126.0,205.0,181.0,40.0,267.0,311.0
26,ELMORE,AL,81144.0,0.7351693882524982,32.5966,-86.1492,412.0,197.0,226.0,54.0,522.0,667.0
27,GENEVA,AL,26417.0,0.8647269828616979,31.0951,-85.8391,37.0,39.0,73.0,36.0,276.0,427.0
28,COFFEE,AL,51662.0,0.7586531986531987,31.4027,-85.9882,96.0,96.0,109.0,83.0,552.0,691.0
29,CALHOUN,AL,114618.0,0.6884843967597042,33.7714,-85.826,833.0,237.0,189.0,92.0,561.0,841.0
30,CLARKE,AL,24128.0,0.5575942139322421,31.6767,-87.8308,36.0,53.0,27.0,,170.0,185.0
31,FRANKLIN,AL,31466.0,0.8249324216886628,34.4417,-87.8437,65.0,45.0,42.0,23.0,285.0,282.0
32,BLOUNT,AL,57681.0,0.8957155284906481,33.9809,-86.5674,292.0,144.0,345.0,56.0,422.0,697.0
33,RUSSELL,AL,57952.0,0.46246893900323505,32.2884,-85.1849,129.0,127.0,128.0,41.0,189.0,256.0
34,MADISON,AL,362276.0,0.5277074658438031,34.7631,-86.5502,852.0,944.0,797.0,364.0,1520.0,2122.0
35,MOBILE,AL,414114.0,0.5527450809110961,30.7872,-88.2058,847.0,3209.0,837.0,778.0,6466.0,7904.0
36,COVINGTON,AL,37200.0,0.8368330464716007,31.2485,-86.4513,72.0,54.0,106.0,93.0,359.0,400.0
37,RANDOLPH,AL,22647.0,0.7897942234935867,33.2938,-85.4591,93.0,41.0,63.0,24.0,111.0,136.0
38,PIKE,AL,33333.0,0.5810273824145654,31.8027,-85.9409,83.0,45.0,48.0,22.0,178.0,248.0
39,ST. CLAIR,AL,87989.0,0.8137980693503747,33.7157,-86.3146,410.0,219.0,456.0,73.0,539.0,840.0
40,BALDWIN,AL,212830.0,0.7617137282433283,30.7275,-87.7226,517.0,509.0,621.0,382.0,3063.0,3363.0
41,JACKSON,AL,51852.0,0.8322051108478592,34.7795,-85.9994,138.0,89.0,81.0,171.0,351.0,310.0
42,MONTGOMERY,AL,226941.0,0.3360029857069367,32.2203,-86.2076,927.0,540.0,632.0,127.0,1041.0,1729.0
43,WALKER,AL,64110.0,0.8341995508501765,33.8033,-87.2973,392.0,109.0,103.0,69.0,466.0,587.0
44,ESCAMBIA,AL,37057.0,0.6831552482715273,31.1261,-87.1616,66.0,58.0,42.0,57.0,447.0,692.0
45,MARION,AL,29866.0,0.8839718983124502,34.1366,-87.8871,178.0,48.0,93.0,70.0,174.0,276.0
46,MATANUSKA-SUSITNA,AK,105369.0,,62.3162,-149.5714,1377.0,1287.0,325.0,105.0,357.0,493.0
47,KENAI PENINSULA,AK,58464.0,,60.2654,-151.5652,144.0,294.0,95.0,44.0,522.0,670.0
48,JUNEAU,AK,32227.0,,58.4546,-134.1739,46.0,75.0,57.0,31.0,195.0,171.0
49,ANCHORAGE,AK,293531.0,,61.1508,-149.1091,1822.0,1533.0,508.0,425.0,1900.0,1884.0
50,FAIRBANKS NORTH STAR,AK,99072.0,,64.8078,-146.5654,466.0,967.0,282.0,37.0,184.0,237.0
51,APACHE,AZ,71511.0,0.3253155919481406,35.3955,-109.4888,314.0,433.0,116.0,110.0,278.0,270.0
52,MARICOPA,AZ,4328810.0,0.4814292428380229,33.349,-112.4915,14325.0,14920.0,12432.0,9526.0,26835.0,26858.0
53,SANTA CRUZ,AZ,46480.0,0.3167314379218654,31.5259,-110.8465,156.0,77.0,41.0,45.0,139.0,129.0
54,GILA,AZ,53546.0,0.6643409731761984,33.7997,-110.8117,121.0,56.0,74.0,118.0,305.0,317.0
55,PIMA,AZ,1027207.0,0.39922981877297525,32.0974,-111.7899,2854.0,2415.0,1597.0,1324.0,3084.0,3576.0
56,YAVAPAI,AZ,228067.0,0.6390613108412873,34.5999,-112.554,942.0,437.0,536.0,343.0,1528.0,1168.0
57,YUMA,AZ,209468.0,0.5228030509008171,32.7695,-113.9056,363.0,324.0,140.0,84.0,466.0,717.0
58,COCHISE,AZ,125867.0,0.5882829820323616,31.8796,-109.7512,400.0,285.0,117.0,92.0,235.0,303.0
59,GRAHAM,AZ,37996.0,0.7168389463154384,32.9326,-109.8875,67.0,46.0,44.0,25.0,112.0,147.0
60,MOHAVE,AZ,207695.0,0.750324836626285,35.7041,-113.758,719.0,534.0,396.0,814.0,1781.0,1422.0
61,COCONINO,AZ,141274.0,0.3691996942897696,35.8387,-111.7705,463.0,601.0,188.0,114.0,643.0,610.0
62,NAVAJO,AZ,109270.0,0.534259277145672,35.3997,-110.3214,293.0,361.0,236.0,268.0,551.0,539.0
63,PINAL,AZ,432793.0,0.5788759501335323,32.9044,-111.3448,1857.0,1363.0,1435.0,1086.0,2622.0,3257.0
64,PULASKI,AR,392967.0,0.3747263997740592,34.77,-92.3119,635.0,547.0,662.0,1320.0,5180.0,3009.0
65,CRAIGHEAD,AR,107345.0,0.6636545402612241,35.8308,-90.6328,157.0,200.0,175.0,153.0,1054.0,1008.0
66,HOT SPRING,AR,33597.0,0.7328183483316079,34.3176,-92.946,123.0,73.0,94.0,179.0,546.0,379.0
67,CONWAY,AR,20858.0,0.6556131260794473,35.2622,-92.7013,20.0,18.0,19.0,16.0,129.0,126.0
68,JEFFERSON,AR,69282.0,0.37844820732967643,34.2688,-91.9315,74.0,54.0,49.0,89.0,478.0,355.0
69,CARROLL,AR,27965.0,0.6293125370856998,36.341,-93.5382,24.0,37.0,13.0,68.0,264.0,198.0
70,INDEPENDENCE,AR,37427.0,0.7752205071664829,35.7415,-91.5697,13.0,16.0,24.0,68.0,235.0,164.0
71,LONOKE,AR,72528.0,0.7463309634074751,34.7542,-91.8888,114.0,135.0,126.0,230.0,703.0,474.0
72,MILLER,AR,43572.0,0.7211567547946034,33.3121,-93.8916,48.0,25.0,45.0,48.0,218.0,182.0
73,JOHNSON,AR,26372.0,0.7304695725415877,35.5701,-93.4599,77.0,17.0,22.0,18.0,167.0,179.0
74,GARLAND,AR,98555.0,0.6576845629991629,34.5767,-93.1504,151.0,82.0,167.0,226.0,1412.0,978.0
75,UNION,AR,39449.0,0.6309387607635335,33.1713,-92.5972,39.0,34.0,15.0,45.0,215.0,158.0
76,WHITE,AR,78762.0,0.7829690788408613,35.2563,-91.7455,92.0,66.0,94.0,234.0,806.0,521.0
77,BAXTER,AR,41427.0,0.7538439567763127,36.2872,-92.337,107.0,49.0,25.0,143.0,588.0,305.0
78,WASHINGTON,AR,232289.0,0.5039356713979589,35.9791,-94.2156,426.0,358.0,224.0,314.0,1709.0,2085.0
79,ST. FRANCIS,AR,25900.0,0.45610579628587505,35.022,-90.7478,52.0,41.0,18.0,26.0,152.0,105.0
80,BOONE,AR,37331.0,0.7977094776206615,36.3086,-93.0915,38.0,38.0,49.0,129.0,437.0,267.0
81,CLARK,AR,22386.0,0.5498511018463371,34.051,-93.1764,11.0,17.0,13.0,77.0,219.0,152.0
82,MISSISSIPPI,AR,42126.0,0.5911521633446767,35.7638,-90.0542,55.0,65.0,46.0,13.0,165.0,223.0
83,POPE,AR,63761.0,0.7400540275049116,35.4476,-93.0342,57.0,98.0,38.0,63.0,404.0,642.0
84,GREENE,AR,44937.0,0.7869565217391304,36.1176,-90.559,48.0,58.0,46.0,68.0,467.0,495.0
85,BENTON,AR,265759.0,0.6168273400493696,36.3387,-94.2561,521.0,394.0,375.0,364.0,2003.0,1502.0
86,LOGAN,AR,21668.0,0.7831003039513678,35.2153,-93.7162,18.0,13.0,,12.0,93.0,104.0
87,HEMPSTEAD,AR,21842.0,0.6527453271028038,33.7353,-93.6685,24.0,,,52.0,105.0,125.0
88,CRAWFORD,AR,62739.0,0.7723631231580258,35.5885,-94.2429,122.0,45.0,46.0,100.0,392.0,386.0
89,SALINE,AR,119415.0,0.6944644393335557,34.6466,-92.6765,125.0,90.0,180.0,379.0,1397.0,743.0
90,POINSETT,AR,23896.0,0.7868634490094403,35.574,-90.663,23.0,26.0,14.0,44.0,248.0,229.0
91,SEBASTIAN,AR,127591.0,0.6618158676283411,35.1993,-94.2742,203.0,79.0,92.0,173.0,840.0,808.0
92,YELL,AR,21464.0,0.7752558967512239,35.0026,-93.4112,12.0,14.0,15.0,14.0,114.0,107.0
93,COLUMBIA,AR,23776.0,0.638347260909935,33.2143,-93.2273,,,11.0,25.0,112.0,87.0
94,CRITTENDEN,AR,48672.0,0.44803568155434714,35.2079,-90.3089,114.0,143.0,103.0,44.0,276.0,551.0
95,OUACHITA,AR,23830.0,0.5497974867587496,33.5934,-92.8819,13.0,17.0,35.0,95.0,240.0,176.0
96,FAULKNER,AR,123624.0,0.6324134636584111,35.147,-92.332,247.0,179.0,258.0,242.0,1344.0,898.0
97,CLEBURNE,AR,25100.0,0.8145110410094637,35.5381,-92.0267,33.0,11.0,12.0,48.0,274.0,202.0
98,CALAVERAS,CA,45514.0,0.6080842291267855,38.2046,-120.5541,92.0,87.0,76.0,38.0,136.0,276.0
99,SISKIYOU,CA,43468.0,0.5662065439672802,41.5927,-122.5404,93.0,236.0,222.0,45.0,178.0,284.0
100,SAN BERNARDINO,CA,2149031.0,0.4354344750514189,34.8414,-116.1784,3327.0,2676.0,1659.0,1797.0,10367.0,12126.0
101,ALAMEDA,CA,1656754.0,0.17700858363525393,37.6469,-121.8889,2984.0,2851.0,1630.0,1612.0,8553.0,5755.0
102,MERCED,CA,271382.0,0.4350663692382446,37.1919,-120.7177,1399.0,812.0,419.0,229.0,1013.0,1419.0
103,YUBA,CA,76360.0,0.5932339911397503,39.269,-121.3513,249.0,169.0,188.0,152.0,614.0,576.0
104,LOS ANGELES,CA,10081570.0,0.26862850623715373,34.3207,-118.2248,16841.0,12294.0,6186.0,8102.0,61126.0,48477.0
105,SHASTA,CA,179212.0,0.6541375228666738,40.7637,-122.0405,518.0,670.0,631.0,344.0,791.0,1196.0
106,SAN BENITO,CA,60376.0,0.3673257023933403,36.6057,-121.075,135.0,157.0,46.0,65.0,167.0,200.0
107,MARIN,CA,259943.0,0.15794134633895912,38.0734,-122.7234,465.0,291.0,162.0,141.0,906.0,655.0
108,SANTA BARBARA,CA,444829.0,0.328123830107967,34.6729,-120.0165,1087.0,787.0,267.0,220.0,1503.0,1764.0
109,VENTURA,CA,847263.0,0.38362679595577365,34.4565,-119.0836,1965.0,946.0,639.0,612.0,3500.0,3554.0
110,SAN FRANCISCO,CA,874961.0,0.1271933680980627,37.7562,-122.443,1217.0,964.0,514.0,514.0,5387.0,3316.0
111,KINGS,CA,150691.0,0.548824696199357,36.0753,-119.8155,558.0,251.0,165.0,146.0,866.0,1377.0
112,TULARE,CA,461898.0,0.5281614868774892,36.2201,-118.8005,1491.0,722.0,678.0,333.0,1590.0,2573.0
113,PLACER,CA,385512.0,0.5210392880842593,39.0635,-120.7175,1164.0,1208.0,710.0,661.0,2468.0,2547.0
114,NEVADA,CA,99244.0,0.41357528957528955,39.3014,-120.7685,351.0,327.0,147.0,151.0,836.0,929.0
115,SONOMA,CA,499772.0,0.23041775213646545,38.5283,-122.8874,1051.0,567.0,559.0,968.0,2487.0,1922.0
116,LASSEN,CA,30818.0,0.7483106698923834,40.6736,-120.5943,27.0,29.0,58.0,79.0,79.0,192.0
117,SAN MATEO,CA,767423.0,0.20196071620383113,37.4229,-122.329,1272.0,1068.0,487.0,509.0,2821.0,2194.0
118,SAN JOAQUIN,CA,742603.0,,37.9348,-121.2714,3353.0,2387.0,1354.0,1073.0,4162.0,4281.0
119,SACRAMENTO,CA,1524553.0,0.3610670341295028,38.4493,-121.3443,4663.0,4571.0,2996.0,2459.0,10001.0,8706.0
120,ORANGE,CA,3168044.0,0.4444466343825984,33.703,-117.7611,4532.0,3128.0,1449.0,1697.0,12340.0,11059.0
121,HUMBOLDT,CA,135940.0,0.316226776869108,40.6993,-123.8756,280.0,420.0,482.0,277.0,817.0,992.0
122,MENDOCINO,CA,87224.0,0.30611444393170284,39.4402,-123.3915,112.0,91.0,184.0,173.0,435.0,701.0
123,BUTTE,CA,225817.0,0.4774361687535516,39.6669,-121.6007,393.0,576.0,454.0,285.0,968.0,1267.0
124,TEHAMA,CA,63912.0,0.6662141937280289,40.1256,-122.2341,222.0,206.0,146.0,66.0,190.0,413.0
125,GLENN,CA,27976.0,0.6252102328051695,39.5982,-122.392,129.0,48.0,68.0,27.0,72.0,141.0
126,TUOLUMNE,CA,54045.0,0.5817219152854513,38.0276,-119.9548,112.0,84.0,70.0,66.0,455.0,546.0
127,AMADOR,CA,38429.0,0.6090835724533716,38.4464,-120.6511,105.0,59.0,41.0,71.0,225.0,341.0
128,SUTTER,CA,96109.0,0.571592721133102,39.0346,-121.6948,276.0,202.0,165.0,162.0,654.0,736.0
129,SANTA CRUZ,CA,273962.0,0.18598148263220032,37.0562,-122.0018,433.0,262.0,127.0,116.0,621.0,863.0
130,YOLO,CA,217352.0,0.2805106173042531,38.6866,-121.9016,467.0,470.0,284.0,219.0,1202.0,1104.0
131,DEL NORTE,CA,27495.0,0.5641316685584563,41.7431,-123.8972,190.0,127.0,89.0,49.0,264.0,562.0
132,LAKE,CA,64195.0,0.4554699430792725,39.0996,-122.7532,164.0,92.0,70.0,112.0,826.0,532.0
133,IMPERIAL,CA,180701.0,0.36739333486068765,33.0395,-115.3654,542.0,709.0,400.0,183.0,662.0,521.0
134,KERN,CA,887641.0,0.5387759915097677,35.3429,-118.7299,2355.0,1374.0,1140.0,833.0,3543.0,4859.0
135,STANISLAUS,CA,543194.0,0.484499009090317,37.5591,-120.9977,2700.0,2165.0,1415.0,926.0,2881.0,3715.0
136,NAPA,CA,139623.0,0.28656964656964656,38.5065,-122.3305,380.0,326.0,110.0,145.0,554.0,548.0
137,SAN DIEGO,CA,3316073.0,0.3745570776141705,33.0341,-116.7353,6921.0,6282.0,3254.0,2543.0,17780.0,18120.0
138,COLUSA,CA,21454.0,0.5726667504082402,39.1775,-122.237,21.0,54.0,47.0,26.0,107.0,216.0
139,SANTA CLARA,CA,1927470.0,0.2522647903415963,37.2318,-121.6951,3704.0,3231.0,1134.0,959.0,5375.0,4998.0
140,SOLANO,CA,441829.0,0.33663789544242434,38.27,-121.9329,1086.0,1309.0,806.0,677.0,2934.0,2072.0
141,FRESNO,CA,984521.0,0.4506887867652096,36.7582,-119.6493,3879.0,1997.0,1262.0,790.0,3761.0,5024.0
142,CONTRA COSTA,CA,1142251.0,0.26298433210164524,37.9191,-121.9278,2636.0,2367.0,1629.0,1587.0,7405.0,5220.0
143,MADERA,CA,155433.0,0.5467505397156257,37.218,-119.7627,545.0,353.0,151.0,188.0,685.0,769.0
144,MONTEREY,CA,433410.0,0.28244358631796634,36.2172,-121.2392,674.0,434.0,260.0,171.0,889.0,1072.0
145,RIVERSIDE,CA,2411439.0,0.4504250087248134,33.7437,-115.9938,3893.0,3024.0,1808.0,1891.0,12157.0,13443.0
146,SAN LUIS OBISPO,CA,282165.0,0.4222297356524788,35.3871,-120.4045,877.0,675.0,292.0,145.0,950.0,1561.0
147,EL DORADO,CA,188563.0,0.5323565113336031,38.7787,-120.5247,356.0,618.0,312.0,237.0,1013.0,1169.0
148,LARIMER,CO,344786.0,0.40781766798313257,40.6664,-105.4611,2039.0,3032.0,1389.0,535.0,950.0,658.0
149,MONTROSE,CO,41686.0,0.6728994462723698,38.4022,-108.2693,60.0,95.0,188.0,131.0,275.0,94.0
150,ADAMS,CO,504108.0,0.40405930556728903,39.8736,-104.3378,2954.0,4834.0,2870.0,1021.0,1677.0,1415.0
151,DOUGLAS,CO,336041.0,0.5236070033030374,39.3297,-104.9296,2491.0,3848.0,1471.0,881.0,1039.0,958.0
152,BOULDER,CO,322510.0,0.20620442382987808,40.0925,-105.3577,1870.0,2107.0,690.0,300.0,824.0,558.0
153,DELTA,CO,30565.0,0.6753226639132679,38.8614,-107.8629,81.0,109.0,111.0,166.0,167.0,44.0
154,ROUTT,CO,25072.0,0.35109030575965866,40.4851,-106.9913,170.0,100.0,62.0,43.0,142.0,105.0
155,BROOMFIELD,CO,67886.0,0.3494381540572997,39.9541,-105.0527,433.0,471.0,173.0,104.0,204.0,169.0
156,GARFIELD,CO,59055.0,0.47621667098110276,39.5993,-107.904,333.0,299.0,173.0,230.0,283.0,114.0
157,SUMMIT,CO,30649.0,0.2880025975431571,39.6342,-106.1164,401.0,216.0,58.0,29.0,232.0,153.0
158,MORGAN,CO,28517.0,0.697977299185099,40.2626,-103.8097,102.0,94.0,73.0,41.0,16.0,33.0
159,JEFFERSON,CO,574798.0,0.3933055612972297,39.5864,-105.2505,3183.0,4763.0,2417.0,885.0,1506.0,1087.0
160,ARAPAHOE,CO,644560.0,0.36358989442662837,39.6498,-104.3392,3463.0,5582.0,3154.0,1161.0,1901.0,1729.0
161,ELBERT,CO,25717.0,0.7389243006900912,39.2866,-104.136,141.0,235.0,127.0,65.0,66.0,38.0
162,LA PLATA,CO,55617.0,0.3990523453051841,37.2866,-107.8433,391.0,451.0,188.0,123.0,168.0,226.0
163,PUEBLO,CO,165982.0,0.47849967724034836,38.1735,-104.5128,852.0,2034.0,1054.0,440.0,369.0,313.0
164,EAGLE,CO,54681.0,0.3394646533973919,39.6278,-106.6954,602.0,429.0,83.0,49.0,187.0,273.0
165,TELLER,CO,24524.0,0.6636165062872661,38.8822,-105.1618,160.0,225.0,151.0,60.0,80.0,29.0
166,CHAFFEE,CO,19557.0,0.4535646595713661,38.747,-106.1941,48.0,119.0,83.0,38.0,68.0,39.0
167,EL PASO,CO,698974.0,0.5353767048259078,38.8321,-104.5255,4559.0,7238.0,6166.0,2297.0,2976.0,2057.0
168,MESA,CO,151218.0,0.6278097171799654,39.0183,-108.4664,333.0,784.0,1475.0,1295.0,984.0,310.0
169,FREMONT,CO,47321.0,0.6854090855734241,38.473,-105.4397,193.0,421.0,326.0,90.0,115.0,71.0
170,MONTEZUMA,CO,26031.0,0.6003870967741936,37.3386,-108.5966,79.0,74.0,118.0,96.0,70.0,66.0
171,LOGAN,CO,22380.0,0.7678503608051652,40.7247,-103.1101,94.0,108.0,69.0,37.0,13.0,46.0
172,DENVER,CO,705576.0,0.1818504985666368,39.7621,-104.8759,4862.0,5917.0,2512.0,1199.0,2011.0,1707.0
173,WELD,CO,305345.0,0.5758082096613845,40.5548,-104.3925,2039.0,3041.0,1863.0,748.0,1065.0,923.0
174,NEW LONDON,CT,267390.0,0.40908569955015617,41.4866,-72.1015,303.0,17.0,6943.0,425.0,802.0,277.0
175,NEW HAVEN,CT,857513.0,0.40645911436589527,41.4105,-72.9321,2738.0,112.0,28634.0,1636.0,3204.0,1241.0
176,WINDHAM,CT,116566.0,0.5105111944220595,41.83,-71.9874,170.0,,3274.0,203.0,354.0,135.0
177,FAIRFIELD,CT,943926.0,0.35657583891480876,41.2708,-73.3894,2555.0,100.0,29167.0,1367.0,3017.0,1201.0
178,HARTFORD,CT,893561.0,0.3539088788790571,41.8064,-72.7329,1535.0,58.0,23399.0,1692.0,2954.0,1213.0
179,LITCHFIELD,CT,182002.0,0.5170069924867962,41.7925,-73.2453,555.0,22.0,4796.0,227.0,424.0,172.0
180,MIDDLESEX,CT,163053.0,0.40993770035686206,41.4632,-72.5351,285.0,12.0,3784.0,226.0,427.0,181.0
181,TOLLAND,CT,151063.0,0.43162276680625417,41.855,-72.3365,186.0,,2771.0,156.0,356.0,125.0
182,NEW CASTLE,DE,556165.0,0.3072109250329413,39.5768,-75.6527,5749.0,5992.0,2571.0,464.0,914.0,1460.0
183,SUSSEX,DE,224384.0,0.5506679448327045,38.6606,-75.39,997.0,1306.0,730.0,243.0,437.0,775.0
184,KENT,DE,176699.0,0.47123240448147086,39.0862,-75.5684,1019.0,1536.0,547.0,86.0,271.0,710.0
185,CITRUS,FL,145169.0,0.7011415329156295,28.8489,-82.4794,1344.0,466.0,224.0,171.0,663.0,394.0
186,HILLSBOROUGH,FL,1422278.0,0.459787968199443,27.9291,-82.3092,27053.0,6529.0,4194.0,4020.0,3304.0,4755.0
187,SUMTER,FL,125044.0,0.6786073417310915,28.7048,-82.081,1680.0,308.0,116.0,154.0,314.0,242.0
188,BROWARD,FL,1926205.0,0.3481452940046279,26.1523,-80.4871,25095.0,15985.0,4823.0,4813.0,12840.0,13982.0
189,HIGHLANDS,FL,103437.0,0.668449300364194,27.3433,-81.341,638.0,487.0,153.0,123.0,333.0,382.0
190,LEE,FL,737468.0,0.5921492565353047,26.5778,-81.8337,9606.0,3454.0,1869.0,1561.0,1943.0,4278.0
191,SANTA ROSA,FL,174755.0,0.7237112823582224,30.7004,-87.022,1304.0,227.0,147.0,196.0,538.0,301.0
192,MARTIN,FL,159065.0,0.6195733646658428,27.0775,-80.4315,1293.0,639.0,290.0,320.0,738.0,345.0
193,ESCAMBIA,FL,313491.0,0.5674289202451107,30.6689,-87.3628,5477.0,594.0,269.0,272.0,951.0,930.0
194,OKALOOSA,FL,203794.0,0.6857088843632114,30.6913,-86.5917,1215.0,314.0,147.0,214.0,646.0,316.0
195,WALTON,FL,68262.0,0.7537461966095491,30.6436,-86.1697,530.0,154.0,73.0,140.0,297.0,271.0
196,MONROE,FL,75798.0,0.5349476358033688,25.3156,-81.1106,957.0,368.0,102.0,151.0,318.0,98.0
197,BRADFORD,FL,27317.0,0.7580692488262911,29.9499,-82.1688,106.0,58.0,31.0,41.0,309.0,216.0
198,GADSDEN,FL,45945.0,0.31415705748674355,30.5795,-84.6136,554.0,71.0,47.0,75.0,245.0,203.0
199,WASHINGTON,FL,24764.0,0.8011681674373327,30.6106,-85.6653,247.0,31.0,12.0,11.0,141.0,133.0
200,LEVY,FL,40403.0,0.7236552171095268,29.3184,-82.7436,473.0,194.0,82.0,48.0,155.0,70.0
201,MANATEE,FL,384213.0,0.5760884595175103,27.4719,-82.3153,4865.0,2028.0,917.0,667.0,1642.0,1069.0
202,NASSAU,FL,83098.0,0.7237761643230008,30.6106,-81.8016,749.0,146.0,140.0,231.0,730.0,391.0
203,BAKER,FL,28211.0,0.8472153069208336,30.3311,-82.2846,143.0,40.0,23.0,83.0,299.0,265.0
204,LEON,FL,289770.0,0.35262599046210313,30.458,-84.2779,2470.0,608.0,358.0,337.0,1258.0,1281.0
205,COLUMBIA,FL,69968.0,0.7213849040614975,30.2242,-82.6215,513.0,164.0,83.0,112.0,455.0,443.0
206,PINELLAS,FL,964666.0,0.493481503979704,27.9196,-82.7256,10390.0,3867.0,1196.0,978.0,1939.0,1736.0
207,BAY,FL,182161.0,0.7105370657034744,30.2652,-85.6203,1993.0,324.0,171.0,246.0,766.0,580.0
208,INDIAN RIVER,FL,153989.0,0.6039144885314514,27.6943,-80.6062,2284.0,450.0,238.0,271.0,460.0,525.0
209,WAKULLA,FL,32321.0,0.6995218430775918,30.1673,-84.4007,221.0,65.0,41.0,22.0,119.0,113.0
210,HERNANDO,FL,186313.0,0.6464442445052423,28.5536,-82.425,1892.0,954.0,405.0,382.0,1215.0,1284.0
211,PALM BEACH,FL,1465027.0,0.43291410035206257,26.6476,-80.4655,19525.0,7925.0,2870.0,2920.0,7297.0,4937.0
212,ALACHUA,FL,265443.0,0.35743737903565115,29.6747,-82.3577,3113.0,883.0,397.0,330.0,970.0,476.0
213,PASCO,FL,524602.0,0.5948306123124814,28.3091,-82.3932,5828.0,2600.0,1099.0,1040.0,1312.0,1701.0
214,CHARLOTTE,FL,181067.0,0.629559910606842,26.9055,-81.9123,1705.0,648.0,262.0,218.0,348.0,235.0
215,TAYLOR,FL,21870.0,0.7653796780882789,30.047,-83.6035,223.0,18.0,13.0,18.0,76.0,117.0
216,FLAGLER,FL,109801.0,0.6001868481231525,29.4614,-81.3136,687.0,256.0,93.0,133.0,462.0,315.0
217,JACKSON,FL,47945.0,0.6908425888755074,30.7954,-85.2155,561.0,46.0,58.0,118.0,308.0,357.0
218,CLAY,FL,211405.0,0.6790723845504602,29.9831,-81.8579,3065.0,588.0,408.0,505.0,1201.0,873.0
219,ST. JOHNS,FL,244674.0,0.6281550429731291,29.9016,-81.4407,2690.0,583.0,371.0,498.0,1341.0,768.0
220,VOLUSIA,FL,536487.0,0.5653837021327808,29.0584,-81.1819,6066.0,2122.0,1016.0,925.0,1626.0,1630.0
221,MIAMI-DADE,FL,2699428.0,0.4606030691138435,25.615,-80.5623,84578.0,31388.0,10561.0,10097.0,20295.0,19187.0
222,DUVAL,FL,936186.0,0.4743354571648878,30.3316,-81.6708,22860.0,2107.0,1703.0,2487.0,5262.0,6854.0
223,BREVARD,FL,585507.0,0.5762298899003226,28.2937,-80.7323,4670.0,1563.0,633.0,732.0,1535.0,2222.0
224,HENDRY,FL,40732.0,0.6109737248840804,26.5535,-81.1659,299.0,121.0,61.0,79.0,127.0,142.0
