,County,State,Population,Percent Republican,Latitude,Longitude,March,April,May,June,July,August
1317,FRANKLIN,TN,41725.0,0.7310788208237508,35.155,-86.0922,264.0,121.0,53.0,17.0,245.0,308.0
1318,DYER,TN,37416.0,0.7804231049804363,36.0591,-89.4138,82.0,93.0,58.0,32.0,171.0,286.0
1319,OBION,TN,30365.0,0.7980178980844612,36.3582,-89.1488,76.0,83.0,58.0,23.0,84.0,235.0
1320,RUTHERFORD,TN,315815.0,0.5663131263987545,35.8427,-86.4167,2600.0,1516.0,604.0,249.0,1485.0,2381.0
1321,SHELBY,TN,936374.0,0.3397809215950583,35.184,-89.8955,3099.0,4346.0,2845.0,1246.0,7244.0,9123.0
1322,COLLIN,TX,973977.0,0.5140367032286455,33.1879,-96.5724,12.0,,,,,
1323,CORYELL,TX,75280.0,0.6571319116332525,31.3909,-97.7992,52.0,,,,,
1324,GALVESTON,TX,332885.0,0.6056429769121631,29.3931,-94.9629,48.0,40.0,18.0,,,
1325,NAVARRO,TX,48995.0,0.7216440934999738,32.0469,-96.4725,,,,,,
1326,DENTON,TX,833822.0,0.5322946473858993,33.2052,-97.117,13.0,,,,,
1327,EL PASO,TX,836062.0,0.31616734588289985,31.7686,-106.2348,55.0,,,,,
1328,BROWN,TX,37855.0,0.8577869622393387,31.7743,-98.9998,25.0,51.0,25.0,,,
1329,BRAZORIA,TX,360677.0,0.5834989418262531,29.1897,-95.4519,12.0,15.0,,,,
1330,JEFFERSON,TX,254340.0,0.5020103631317342,29.8841,-94.1629,,,,,,
1331,POTTER,TX,119674.0,0.6845247022827489,35.4013,-101.8939,,,,,,
1332,WALKER,TX,72321.0,0.6511519566322209,30.739,-95.5723,29.0,,,,,
1333,DALLAS,TX,2606868.0,0.3339583079573335,32.7666,-96.7779,13.0,,,,,
1334,HIDALGO,TX,855176.0,0.40983955379294107,26.3969,-98.1812,,11.0,,,,
1335,NUECES,TX,361540.0,0.5075085217008843,27.7255,-97.6132,,,,,,
1336,HARRIS,TX,4646630.0,0.4270004351488099,29.8577,-95.3936,49.0,46.0,,,,
1337,BEXAR,TX,1952843.0,0.4003772615585002,29.4489,-98.52,,,,,,
1338,JONES,TX,19943.0,0.8396380358997182,32.7399,-99.8788,27.0,,,,,
1339,ANDERSON,TX,57810.0,0.7858740313101368,31.8133,-95.6525,,,,,,
1340,BRAZOS,TX,222981.0,0.5587754670177872,30.6608,-96.3024,50.0,14.0,,,,
1341,SALT LAKE,UT,1133646.0,0.4211159919572762,40.6673,-111.9236,4976.0,4129.0,2772.0,3034.0,6296.0,4401.0
1342,BOX ELDER,UT,53946.0,0.7973948118269623,41.521,-113.0821,187.0,194.0,214.0,152.0,273.0,252.0
1343,SUMMIT,UT,41103.0,0.393007743617266,40.8682,-110.9557,288.0,154.0,61.0,80.0,134.0,120.0
1344,TOOELE,UT,67397.0,0.6669840665270107,40.4488,-113.1311,310.0,251.0,232.0,209.0,403.0,396.0
1345,WASATCH,UT,31708.0,0.6068015739179314,40.3308,-111.1682,141.0,124.0,57.0,67.0,208.0,151.0
1346,IRON,UT,51213.0,0.7564133205863608,37.8592,-113.2895,258.0,304.0,208.0,172.0,388.0,256.0
1347,SANPETE,UT,29850.0,0.8284356435643564,39.3739,-111.5763,113.0,64.0,111.0,48.0,136.0,125.0
1348,SEVIER,UT,21280.0,0.873576529627485,38.7478,-111.8044,100.0,42.0,24.0,52.0,106.0,84.0
1349,UTAH,UT,605490.0,0.678232484188458,40.1199,-111.6703,2474.0,2207.0,1480.0,1954.0,4185.0,2698.0
1350,CARBON,UT,20308.0,0.7143772014089017,39.6481,-110.5887,97.0,29.0,41.0,70.0,97.0,50.0
1351,WASHINGTON,UT,165811.0,0.7389261008015812,37.2804,-113.5048,481.0,353.0,308.0,453.0,1029.0,770.0
1352,DAVIS,UT,345767.0,0.6132297690414218,40.99,-112.1115,1529.0,1373.0,1025.0,1235.0,2028.0,1364.0
1353,WEBER,UT,251498.0,0.5919858531637389,41.2698,-111.9134,1071.0,931.0,890.0,1071.0,1642.0,1116.0
1354,CACHE,UT,124165.0,0.6517015661948662,41.7224,-111.7436,552.0,355.0,285.0,297.0,564.0,402.0
1355,UINTAH,UT,36084.0,0.8665621120041822,40.1248,-109.5186,220.0,102.0,81.0,278.0,347.0,120.0
1356,WASHINGTON,VT,58350.0,0.246482661004954,44.2734,-72.6149,191.0,160.0,84.0,,62.0,131.0
1357,CHITTENDEN,VT,162646.0,0.20778254353780165,44.461,-73.0809,1443.0,865.0,112.0,39.0,225.0,474.0
1358,ADDISON,VT,36882.0,0.29043385962584584,44.0309,-73.1408,150.0,94.0,23.0,,38.0,80.0
1359,WINDSOR,VT,55275.0,0.2791395835628512,43.58,-72.5862,133.0,145.0,108.0,30.0,39.0,82.0
1360,ORLEANS,VT,26901.0,0.4588783836290636,44.8288,-72.2437,483.0,229.0,97.0,,41.0,83.0
1361,FRANKLIN,VT,49116.0,0.43241791960724146,44.8575,-72.912,445.0,200.0,74.0,,61.0,131.0
1362,RUTLAND,VT,58892.0,0.42059703209478894,43.5801,-73.0366,462.0,278.0,132.0,,54.0,86.0
1363,CALEDONIA,VT,30234.0,0.39081673043937193,44.4647,-72.1022,303.0,227.0,76.0,,,40.0
1364,BENNINGTON,VT,35746.0,0.34736787725370666,43.0354,-73.093,175.0,198.0,73.0,,34.0,74.0
